id	source	abbreviation	unit	concept_id_omop_grouped	concept_name
10089	LABfi_HUS	zb-o2sat	NA	3018465	Oxygen saturation in Mixed venous blood
1009	LABfi	e-atp	mmol/l	NA	NA
10092	LABfi_TKU	li-borfl-m	NA	NA	NA
10093	LABfi_TKU	li-borfl-g	NA	NA	NA
10094	LABfi_TKU	s-l.micabm	NA	NA	NA
10095	LABfi_TKU	s-l.micaba	NA	NA	NA
10096	LABfi_HUS	u-epit	NA	3000850	Epithelial cells [#/volume] in Urine
10096	LABfi_TKU	s-l.micabg	NA	NA	NA
10097	LABfi_TKU	s-l.pn-abm	NA	NA	NA
10098	LABfi_TKU	s-l.pn-aba	NA	NA	NA
10099	LABfi_TKU	s-l.pn-abg	NA	NA	NA
101	LABfi_TKU	pt-ater-r1	NA	NA	NA
101	LABfi_TMP	b-hb-co	NA	NA	NA
1010	LABfi	e-atpase	mmol/hl	NA	NA
10100	LABfi_TKU	y.ent3abm	NA	3033093	Yersinia sp IgM Ab [Titer] in Serum
10101	LABfi_TKU	y.ent3aba	NA	3039817	Yersinia enterocolitica IgA Ab [Presence] in Serum
10101	LABfi_TMP	pkllab	NA	NA	NA
10102	LABfi_TKU	y.ent3abg	NA	NA	NA
10103	LABfi_TKU	y.ent9abm	NA	3033093	Yersinia sp IgM Ab [Titer] in Serum
10104	LABfi_TKU	y.ent9aba	NA	3039817	Yersinia enterocolitica IgA Ab [Presence] in Serum
10105	LABfi_TKU	y.ent9abg	NA	46236344	Yersinia enterocolitica O:9 IgG Ab [Presence] in Serum by Agglutination
10106	LABfi_TKU	y.pse1abm	NA	3038714	Yersinia pseudotuberculosis Ab [Titer] in Serum by Agglutination
10107	LABfi_TKU	y.pse1aba	NA	NA	NA
10108	LABfi_TKU	y.pse1abg	NA	NA	NA
10109	LABfi_TKU	y.pse3abm	NA	3040944	Yersinia pseudotuberculosis 3 Ab [Titer] in Serum
1011	LABfi	f-adenag	Lomake	3020393	Adenovirus Ag [Presence] in Stool
1011	LABfi_TMP	f-ade-ag	arvio	NA	NA
10110	LABfi_TKU	y.pse3aba	NA	3042341	Yersinia pseudotuberculosis Ab [Presence] in Serum
10111	LABfi_TKU	y.pse3abg	NA	3042341	Yersinia pseudotuberculosis Ab [Presence] in Serum
10122	LABfi_TKU	cl.diff-vi	NA	NA	NA
1013	LABfi	e-ak	U/g_Hb	NA	NA
10133	LABfi_TKU	suolaheinä	NA	NA	NA
10134	LABfi_TKU	heinäkaura	NA	NA	NA
10139	LABfi_TKU	eukalyptus	NA	NA	NA
1014	LABfi	li-ak	U/l	NA	NA
10143	LABfi_TKU	pekaanip.	NA	NA	NA
10146	LABfi_TKU	s-ana-gtu	NA	NA	NA
10149	LABfi_TKU	hevoskast.	NA	NA	NA
1015	LABfi	s-ak	U/l	NA	NA
10151	LABfi_TMP	b-fvfii-d	Lausunto	NA	NA
10152	LABfi_TKU	metsäleh.	NA	NA	NA
10153	LABfi_TKU	valkopyök	NA	NA	NA
10156	LABfi_TKU	a.elatior	NA	NA	NA
1016	LABfi	du-adr	umol	NA	NA
10163	LABfi_TKU	iiva	NA	NA	NA
10168	LABfi_TKU	tilli	NA	NA	NA
10169	LABfi_TKU	viinirypä	NA	NA	NA
1017	LABfi	p-adr	nmol/l	NA	NA
10170	LABfi_TKU	fenkoli	NA	NA	NA
10172	LABfi_TKU	chilipipp.	NA	NA	NA
10173	LABfi_TKU	mustapipp.	NA	NA	NA
10174	LABfi_TKU	curry	NA	NA	NA
10175	LABfi_TKU	muskot.päh	NA	NA	NA
10176	LABfi_TKU	oregano	NA	NA	NA
10177	LABfi_TKU	kalkk.liha	NA	NA	NA
1018	LABfi_TMP	f-ehec	NA	NA	NA
10181	LABfi_TKU	mustikka	NA	NA	NA
10182	LABfi_TKU	taateli	NA	NA	NA
10183	LABfi_TKU	osteri	NA	NA	NA
10184	LABfi_TKU	j.leip.p.h	NA	NA	NA
10185	LABfi_TKU	arabikumi	NA	NA	NA
10187	LABfi_TKU	kastan,puu	NA	NA	NA
10188	LABfi_TKU	vuohenmait	NA	NA	NA
10189	LABfi_TKU	persimoni	NA	NA	NA
1019	LABfi	du-adrnor	umol	NA	NA
10190	LABfi_TKU	mandariini	NA	NA	NA
10191	LABfi_HUS	cb-be	NA	43055554	Base excess.100% oxygenated [Moles/volume] standard in Capillary blood by calculation
10197	LABfi_TKU	ruohoryhmä	NA	NA	NA
102	LABfi_TMP	u-propx-o	Lausunto	NA	NA
1020	LABfi	p-acth	pmol/l	3035963	Corticotropin [Moles/volume] in Plasma
10200	LABfi_TMP	s-vedol	mg/l	36305075	Vedolizumab [Mass/volume] in Serum or Plasma by Immunoassay
10202	LABfi_TKU	herhmyrk.2	NA	NA	NA
10203	LABfi_TKU	jauhokoisa	NA	NA	NA
10204	LABfi_TKU	protamine	NA	NA	NA
10205	LABfi_TKU	heinär.gx1	NA	NA	NA
10206	LABfi_TKU	heinär.gx2	NA	NA	NA
10206	LABfi_TMP	s-vedolab	AU/ml	NA	NA
10208	LABfi_TKU	puuryh.tx1	NA	NA	NA
10209	LABfi_HUS	s-vedolpa	NA	NA	NA
10209	LABfi_TMP	s-vedolpa	NA	1175553	Vedolizumab and Vedolizumab Ab panel [Mass/volume] - Serum or Plasma
1021	LABfi	s-acth-ab	Lomake	NA	NA
10210	LABfi_TKU	puuryh.tx2	NA	NA	NA
10213	LABfi_TKU	puuryh.tx6	NA	NA	NA
10214	LABfi_TKU	puuryh.tx7	NA	NA	NA
10216	LABfi_TKU	puury.tx10	NA	NA	NA
10219	LABfi_TKU	kukkar.wx2	NA	NA	NA
1022	LABfi	af-alat	U/l	NA	NA
10220	LABfi_TKU	kukkar.wx5	NA	NA	NA
10222	LABfi_HUS	di-k-na	NA	3035717	NA
10222	LABfi_TKU	kotip.hx2	NA	NA	NA
10223	LABfi_HUS	s-flunors	NA	NA	NA
10223	LABfi_TMP	s-flunors	nmol/l	NA	NA
10224	LABfi_HUS	s-bmt-k10	NA	NA	NA
10224	LABfi_TKU	ruokafx7	NA	NA	NA
10225	LABfi_TKU	ruokarfx8	NA	NA	NA
10226	LABfi_TKU	ruokafx9	NA	NA	NA
10227	LABfi_TKU	ruokafx10	NA	NA	NA
10228	LABfi_TKU	ruokafx11	NA	NA	NA
10229	LABfi_TKU	ruokafx12	NA	NA	NA
1023	LABfi	li-alat	U/l	NA	NA
10230	LABfi_HUS	s-dianors	NA	NA	NA
10230	LABfi_TKU	ruokafx13	NA	NA	NA
10230	LABfi_TMP	s-dianors	umol/l	NA	NA
10231	LABfi_HUS	s-if-ab	NA	3011324	Intrinsic factor Ab [Units/volume] in Serum
10231	LABfi_TKU	ruokafx14	NA	NA	NA
10232	LABfi_HUS	gj-k-na	NA	NA	NA
10232	LABfi_TKU	ruokafx15	NA	NA	NA
10233	LABfi_TKU	ruokafx16	NA	NA	NA
10234	LABfi_TKU	ruokafx17	NA	NA	NA
10235	LABfi_TKU	ruokarfx18	NA	NA	NA
10236	LABfi_TKU	ruokafx19	NA	NA	NA
10237	LABfi_TKU	ruokafx20	NA	NA	NA
1024	LABfi	p-alat	U/l	3006923	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma
10241	LABfi_TKU	s-gc-abm	NA	NA	NA
10242	LABfi_HUS	se-neste-o	NA	NA	NA
10243	LABfi_TKU	ly-hla-abc	NA	NA	NA
10244	LABfi_TKU	s-maitabg	NA	NA	NA
10245	LABfi_TKU	s-maitaba	NA	NA	NA
10246	LABfi_HUS	b-upd7-d	NA	NA	NA
10248	LABfi_HUS	ts-hepyvr	NA	NA	NA
1025	LABfi	pf-alat	U/l	NA	NA
10250	LABfi_TKU	s-gc-aba	NA	NA	NA
10251	LABfi_TKU	s-gc-abg	NA	NA	NA
10252	LABfi_HUS	du-elektr	NA	NA	NA
10254	LABfi_TKU	p-hepneu	NA	NA	NA
10254	LABfi_TMP	p-hepneu	s	NA	NA
10257	LABfi_TKU	du-porf-o	NA	NA	NA
1026	LABfi	s-alat	U/l	3006923	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma
10261	LABfi_HUS	b-asupd-d	NA	NA	NA
10262	LABfi_HUS	b-ube3a-d	NA	NA	NA
10264	LABfi_TKU	bor-it-abm	NA	NA	NA
10265	LABfi_TKU	bor-it-abg	NA	NA	NA
10268	LABfi_TKU	sy-borrab	NA	NA	NA
10269	LABfi_TKU	sy-borrabm	NA	NA	NA
1027	LABfi	li-alb	mg/l	3024474	Albumin [Mass/volume] in Cerebral spinal fluid
10270	LABfi_TKU	sy-borrabg	NA	NA	NA
10271	LABfi_TKU	sy-borfl-m	NA	NA	NA
10272	LABfi_TKU	sy-borfl-g	NA	NA	NA
10273	LABfi_TKU	epotaso	NA	NA	NA
10275	LABfi_HUS	b-men11-d	NA	NA	NA
10276	LABfi_HUS	b-men12-d	NA	NA	NA
1028	LABfi	s-alb	g/l	3024561	Albumin [Mass/volume] in Serum or Plasma
10280	LABfi_TKU	se-urea	NA	3020779	Urea [Moles/volume] in Serum or Plasma
10281	LABfi_HUS	b-vhl1-d	NA	NA	NA
10282	LABfi_HUS	b-vhl2-d	NA	NA	NA
1029	LABfi	u-alb	mg/l	3012516	Albumin [Mass/volume] in Urine
10294	LABfi_HUS	as-k-na	NA	NA	NA
10294	LABfi_TKU	vastasitpä	NA	NA	NA
103	LABfi_TKU	p-il	NA	NA	NA
103	LABfi_TMP	b-ph	pH	3010421	pH of Blood
1030	LABfi	u-alb-o	Lomake	3025987	Albumin [Presence] in Urine
10300	LABfi_TMP	pt-gfre-3	NA	NA	NA
10301	LABfi_TMP	pt-gfre-3	ml/min/A	NA	NA
10305	LABfi_HUS	p-bilit	NA	NA	NA
10305	LABfi_TKU	tb-tyypl	NA	NA	NA
10306	LABfi_TKU	tb-herkkl	NA	NA	NA
10307	LABfi_TKU	pf-anaabg	NA	NA	NA
10308	LABfi_HUS	u-mykrea	NA	NA	NA
10309	LABfi_HUS	kiirelisä	NA	NA	NA
1031	LABfi	e-aldol	U/g_Hb	NA	NA
10310	LABfi_HUS	luov.seul.	NA	NA	NA
10312	LABfi_HUS	b-noon3-d	NA	NA	NA
10313	LABfi_HUS	pt-vm	NA	NA	NA
10314	LABfi_TKU	tbvrbactec	NA	NA	NA
1032	LABfi	s-aldol	U/l	3027953	Aldolase [Enzymatic activity/volume] in Serum or Plasma
10321	LABfi_TKU	endtoks	NA	3015106	Endotoxin identified in Specimen
10324	LABfi_TKU	afer-trom	NA	NA	NA
10326	LABfi_TKU	afer-diffi	NA	NA	NA
10327	LABfi_TKU	b-cd34	NA	NA	NA
10328	LABfi_TKU	afer-mns	NA	NA	NA
10329	LABfi_HUS	s-ck-tot	NA	NA	NA
10329	LABfi_TKU	bm-mns	NA	NA	NA
10329	LABfi_TMP	s-ck-tot	U/l	NA	NA
1033	LABfi	du-aldos	nmol	3000690	Aldosterone [Moles/time] in 24 hour Urine
10330	LABfi_HUS	s-ck-mm	NA	NA	NA
10330	LABfi_TMP	s-ck-mm	U/l	NA	NA
10331	LABfi_HUS	s-ck-mm%	NA	NA	NA
10331	LABfi_TKU	afer-cd34	NA	NA	NA
10331	LABfi_TMP	s-ck-mm%	%	NA	NA
10332	LABfi_TKU	bm-cd34	NA	NA	NA
10333	LABfi_HUS	s-ck-mb%	NA	NA	NA
10333	LABfi_TKU	afer-solvi	NA	NA	NA
10333	LABfi_TMP	s-ck-mb%	%	NA	NA
10334	LABfi_HUS	b-noon1-d	NA	NA	NA
10334	LABfi_TKU	bm-solvi	NA	NA	NA
10334	LABfi_TMP	s-ck-bb	U/l	NA	NA
10335	LABfi_HUS	s-ck-bb%	NA	NA	NA
10335	LABfi_TMP	s-ck-bb%	%	NA	NA
10336	LABfi_HUS	s-ckmakr	NA	NA	NA
10336	LABfi_TKU	afer-leuk	NA	NA	NA
10336	LABfi_TMP	s-ckmakr	U/l	NA	NA
10337	LABfi_HUS	s-ckmakr%	NA	NA	NA
10337	LABfi_TMP	s-ckmakr%	%	NA	NA
1034	LABfi	s-aldos	pmol/l	3001788	Aldosterone [Moles/volume] in Serum or Plasma
1034	LABfi_TMP	p-aldos	pmol/l	NA	NA
10341	LABfi_TKU	nst	NA	NA	NA
10347	LABfi_TKU	yers-vi	NA	NA	NA
10348	LABfi_HUS	s-lh/r	NA	NA	NA
1035	LABfi	pt-aldos-r	Lomake	NA	NA
10350	LABfi_TKU	penic.breg	NA	NA	NA
10351	LABfi_TKU	geotr.cand	NA	NA	NA
10353	LABfi_TKU	aureob.pug	NA	NA	NA
10354	LABfi_TKU	cepha.curt	NA	NA	NA
10356	LABfi_TKU	asperg.fug	NA	NA	NA
10357	LABfi_HUS	-ururnho	NA	NA	NA
1036	LABfi	s-aldos-m	pmol/l	3004280	Aldosterone [Moles/volume] in Serum or Plasma --supine
1036	LABfi_TMP	p-aldos-m	pmol/l	NA	NA
10362	LABfi_TKU	asperg.nig	NA	NA	NA
10363	LABfi_TKU	phialo.bub	NA	NA	NA
10365	LABfi_TKU	rhodot.glg	NA	NA	NA
10366	LABfi_TKU	sporob.sal	NA	NA	NA
10367	LABfi_TKU	strep.albg	NA	NA	NA
10368	LABfi_TKU	kananulosg	NA	NA	NA
10369	LABfi_TKU	kalk.ulosg	NA	NA	NA
1037	LABfi	s-aldos-p	pmol/l	3003171	Aldosterone [Moles/volume] in Serum or Plasma --upright
1037	LABfi_TMP	p-aldos-p	pmol/l	NA	NA
10370	LABfi_HUS	b-ko/epi1	NA	NA	NA
10371	LABfi_HUS	b-ko/epi2	NA	NA	NA
10372	LABfi_HUS	b-ko/epi3	NA	NA	NA
10373	LABfi_TKU	asperg.flg	NA	NA	NA
10374	LABfi_HUS	b-ko/adp1	NA	NA	NA
10375	LABfi_HUS	b-ko/adp2	NA	NA	NA
10375	LABfi_TKU	asperg.ocg	NA	NA	NA
10376	LABfi_HUS	b-ko/adp3	NA	NA	NA
10376	LABfi_TKU	chaeto.glg	NA	NA	NA
10377	LABfi_TKU	fusar.aven	NA	NA	NA
1038	LABfi	s-antitry	g/l	3026285	Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma
10385	LABfi_HUS	-hygevi	NA	NA	NA
1039	LABfi	am-afp	mg/l	3010296	Alpha-1-Fetoprotein [Mass/volume] in Amniotic fluid
10391	LABfi_TMP	am-afp	kU/l	3027505	Alpha-1-Fetoprotein [Units/volume] in Amniotic fluid
10393	LABfi_HUS	-inflaga	NA	NA	NA
10394	LABfi_HUS	-inflagb	NA	NA	NA
10395	LABfi_TKU	dna-uutos	NA	4266507	DNA analysis
104	LABfi_HUS	s-evircf	NA	NA	NA
104	LABfi_TMP	b-pco2	kPa	3013290	Carbon dioxide [Partial pressure] in Blood
1040	LABfi	s-afp	ug/l	3015916	Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma
10401	LABfi_TMP	s-afp	kU/l	NA	NA
10402	LABfi_HUS	pt-ivgtt	NA	NA	NA
10402	LABfi_TKU	ts-pad-pol	NA	NA	NA
10402	LABfi_TMP	s-afp	kU/l	NA	NA
10404	LABfi_TKU	ts-värj	NA	4132406	Staining method
10405	LABfi_TKU	fd-syto	NA	NA	NA
10406	LABfi_TKU	ts-fnab-p	NA	NA	NA
1041	LABfi	s-a1glypr	mg/l	3008877	Alpha-1-acid glycoprotein [Mass/volume] in Serum or Plasma
10411	LABfi_TKU	pt-v	NA	NA	NA
10416	LABfi_TKU	ts-pcr	NA	NA	NA
10417	LABfi_HUS	s-golimpa	NA	NA	NA
10418	LABfi_TKU	ts-padpik2	NA	NA	NA
10419	LABfi_TKU	kiirelisä	NA	NA	NA
1042	LABfi	s-a2makro	g/l	3009827	Alpha-2-Macroglobulin [Mass/volume] in Serum or Plasma
10420	LABfi_TKU	ts-breast	NA	40768793	Breast Pathology biopsy report
10421	LABfi_HUS	b-dnamu-d	NA	NA	NA
10421	LABfi_TKU	dna-mutaat	NA	NA	NA
10425	LABfi_HUS	s-vara-d	NA	NA	NA
10429	LABfi_TKU	inf-vi	NA	NA	NA
1043	LABfi	s-aendorf	pmol/l	NA	NA
10430	LABfi_TKU	adenvi	NA	NA	NA
10432	LABfi_HUS	pt-galt1/2	NA	NA	NA
10433	LABfi_TKU	pinfvi	NA	NA	NA
10439	LABfi_HUS	u-alvhut6	NA	NA	NA
1044	LABfi	fs-alipopr	mg/l	NA	NA
10445	LABfi_TKU	s-crneag	NA	NA	NA
10446	LABfi_TKU	li-crneago	NA	NA	NA
1045	LABfi	li-afos	U/l	NA	NA
10452	LABfi_TKU	vastasitpi	NA	NA	NA
10457	LABfi_TKU	u-alb	NA	3012516	Albumin [Mass/volume] in Urine
10458	LABfi_TKU	u-krea	NA	3009508	Creatinine [Moles/volume] in Urine
1046	LABfi	s-afos	U/l	3035995	Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma
10461	LABfi_HUS	menc	NA	NA	NA
10463	LABfi_HUS	b-noon2-d	NA	NA	NA
10463	LABfi_TMP	s-vendves	nmol/l	NA	NA
10464	LABfi_HUS	s-klonors	NA	NA	NA
10464	LABfi_TMP	s-klonors	nmol/l	NA	NA
10465	LABfi_HUS	s-doknors	NA	NA	NA
10465	LABfi_TMP	s-doknors	nmol/l	NA	NA
10466	LABfi_TKU	s-anaaban	NA	NA	NA
1047	LABfi	s-afosinh	Lomake	NA	NA
10470	LABfi_HUS	p-caktt	NA	NA	NA
10470	LABfi_TKU	p-caktt	NA	NA	NA
10471	LABfi_TKU	s-c-def	NA	NA	NA
10473	LABfi_HUS	p-c9	NA	NA	NA
10473	LABfi_TKU	p-c9	NA	NA	NA
10474	LABfi_HUS	p-prop	NA	NA	NA
10474	LABfi_TKU	p-prop	NA	NA	NA
10475	LABfi_TKU	tb-tyyp-i	NA	NA	NA
10477	LABfi_HUS	b-mtdnamu	NA	NA	NA
10477	LABfi_TKU	b-mtmut-d	NA	NA	NA
10478	LABfi_TKU	b-mtpak-d	NA	NA	NA
10479	LABfi_TKU	pl-puhd	NA	NA	NA
1048	LABfi	s-afos-is	Lomake	3021952	Alkaline phosphatase isoenzymes [Enzymatic activity/volume] in Serum or Plasma by Heat stability
10481	LABfi_TMP	afossuoli	U/l	3020013	Alkaline phosphatase.intestinal [Enzymatic activity/volume] in Serum or Plasma
10482	LABfi_TMP	afosmaksa1	U/l	3035062	Alkaline phosphatase.liver 1 [Enzymatic activity/volume] in Serum or Plasma
10483	LABfi_TMP	afosluusto	U/l	3001467	Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma
10484	LABfi_TMP	afosmaksa2	U/l	3036185	Alkaline phosphatase.liver 2 [Enzymatic activity/volume] in Serum or Plasma
10485	LABfi_HUS	p-c1s	NA	NA	NA
10485	LABfi_TKU	p-c1s	NA	NA	NA
1049	LABfi	s-afos-hs	U/l	NA	NA
10493	LABfi_TKU	inhibiini	NA	NA	NA
10496	LABfi_TKU	se-krea	NA	3026726	Creatinine [Moles/volume] in Specimen
10497	LABfi_TKU	se-gluk	NA	NA	NA
105	LABfi_TMP	b-be	mmol/l	NA	NA
1050	LABfi	bm-afos-vr	Lomake	NA	NA
10503	LABfi_HUS	u-kreintp	NA	NA	NA
10503	LABfi_TMP	u-kreintp	mmol/l	NA	NA
10504	LABfi_TKU	ica-seula1	NA	NA	NA
10509	LABfi_TKU	b-lymarkla	NA	NA	NA
1051	LABfi	l-afos-vr	Lomake	NA	NA
10511	LABfi_TKU	p-kardabm	NA	44806071	Cardiolipin IgM antibody measurement
10512	LABfi_TKU	p-kardabg	NA	3009041	Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay
10513	LABfi_TKU	s-fosl-ab	NA	NA	NA
10515	LABfi_TKU	b-toxonho	NA	NA	NA
10518	LABfi_TKU	s-ster-ab	NA	NA	NA
1052	LABfi_TMP	s-all-abe	NA	NA	NA
10528	LABfi_TKU	b-hla-dr2	NA	NA	NA
10529	LABfi_TKU	b-hla-iddm	NA	NA	NA
10529	LABfi_TKU	b-hla-t1d	NA	NA	NA
1053	LABfi	s-amebab	Titteri	NA	NA
10532	LABfi_TKU	b-cmvnho	NA	NA	NA
10533	LABfi_TKU	bopenho+vi	NA	NA	NA
10534	LABfi_TKU	p-syto	NA	NA	NA
1054	LABfi	f-amebna	Lomake	NA	NA
10540	LABfi_TKU	s-nordokse	NA	NA	NA
1055	LABfi	u-amfet-o	Lomake	3027944	Amphetamines [Presence] in Urine
10550	LABfi_TMP	u-amfet-o	Arvio	NA	NA
10551	LABfi_TMP	u-amfet	NA	NA	NA
10552	LABfi_TMP	u-amfet-o	Arvio	NA	NA
10559	LABfi_TKU	li-lybor-s	NA	NA	NA
1056	LABfi	af-aminoh	Lomake	NA	NA
1057	LABfi	am-aminoh	Lomake	NA	NA
10578	LABfi_TKU	s-hermova	NA	NA	NA
10579	LABfi_TKU	li-hermova	NA	NA	NA
1058	LABfi	du-aminoh	Lomake	3012864	Amino acids [Identifier] in 24 hour Urine
10582	LABfi_TKU	s-pne-pcr	NA	NA	NA
1059	LABfi	li-aminoh	Lomake	3032940	Amino acids [Identifier] in Cerebral spinal fluid
10593	LABfi_TKU	b-fishema	NA	NA	NA
10599	LABfi_TKU	lähteenoja	NA	NA	NA
106	LABfi_TKU	b-cmvag	NA	NA	NA
106	LABfi_TMP	p-hco3	mmol/l	NA	NA
1060	LABfi	f-aminoh	Lomake	NA	NA
10602	LABfi_TKU	dipp1	NA	NA	NA
10603	LABfi_TKU	dipp2	NA	NA	NA
10606	LABfi_HUS	l-liusk	NA	NA	NA
10607	LABfi_HUS	l-eos	NA	NA	NA
10608	LABfi_HUS	l-baso	NA	NA	NA
10609	LABfi_HUS	l-lymf	NA	NA	NA
10609	LABfi_TKU	se-eryt	NA	NA	NA
1061	LABfi	p-aminoh	Lomake	3013336	Amino acids [Identifier] in Serum or Plasma
1061	LABfi_HUS	fp-aminoh	NA	NA	NA
1061	LABfi_TMP	fp-aminoh	Lausunto	NA	NA
10610	LABfi_HUS	l-mono	NA	NA	NA
10610	LABfi_TKU	muut	NA	NA	NA
10611	LABfi_TKU	se-diffi	NA	NA	NA
1062	LABfi	u-aminoh	Lomake	3032641	Amino acids panel - Urine
10624	LABfi_TKU	b-pharma	NA	NA	NA
10629	LABfi_HUS	b-cm2-d	NA	NA	NA
1063	LABfi	u-aminh-o	Lomake	NA	NA
10640	LABfi_TKU	lf-eos	NA	NA	NA
10645	LABfi_TKU	gran	NA	NA	NA
10646	LABfi_TKU	mmg-igatuo	NA	NA	NA
10650	LABfi_TKU	s-tyrab1	NA	NA	NA
10651	LABfi_TKU	s-tyrab2	NA	NA	NA
10652	LABfi_TKU	s-pigmg	NA	NA	NA
10662	LABfi_TKU	dipp-lstim	NA	NA	NA
10664	LABfi_TKU	b-a+pkoles	NA	NA	NA
10669	LABfi_HUS	s-dharipi	NA	NA	NA
10669	LABfi_TMP	s-dharipi	ug/l	NA	NA
10670	LABfi_HUS	s-aridhas	NA	NA	NA
10670	LABfi_TMP	s-aridhas	ug/l	NA	NA
10677	LABfi_TKU	p-mhtn	NA	NA	NA
10679	LABfi_TKU	anjovis	NA	NA	NA
1068	LABfi	s-amitrip	nmol/l	3019920	Amitriptyline [Moles/volume] in Serum or Plasma
10680	LABfi_HUS	du-sc2/1	NA	NA	NA
10680	LABfi_TMP	s-amitrip	nmol/l	NA	NA
10681	LABfi_HUS	b-eos-l	NA	NA	NA
10681	LABfi_TKU	bataatti	NA	NA	NA
10682	LABfi_TKU	etana	NA	NA	NA
10684	LABfi_TKU	vihr.papu	NA	NA	NA
10687	LABfi_HUS	du-dsc-1	NA	NA	NA
10687	LABfi_TKU	kahviherne	NA	NA	NA
10688	LABfi_HUS	du-dsc-2	NA	NA	NA
10689	LABfi_TKU	limetti	NA	NA	NA
1069	LABfi	pt-nh4cl-r	Lomake	NA	NA
10691	LABfi_HUS	-hb	NA	NA	NA
10695	LABfi_HUS	b-cm3-d	NA	NA	NA
10695	LABfi_TKU	sardiini2	NA	NA	NA
10696	LABfi_TKU	sarviapila	NA	NA	NA
10697	LABfi_TKU	blomiatro	NA	NA	NA
10698	LABfi_TKU	asperg.nig	NA	NA	NA
10699	LABfi_HUS	p-vuotope	NA	NA	NA
107	LABfi_TKU	p-reninkat	NA	NA	NA
107	LABfi_TMP	b-po2	kPa	3027315	Oxygen [Partial pressure] in Blood
1070	LABfi	fb-nh4-ion	umol/l	NA	NA
10700	LABfi_HUS	-pikavr	NA	NA	NA
10700	LABfi_TKU	penic.freq	NA	NA	NA
